id,vessel_id,component_id,component_code,component_name,previous_rh,new_rh,cumulative_rh,date_updated_local,date_updated_tz,entered_at_utc,user_id,source,notes,meter_replaced,old_meter_final,new_meter_start,version,is_renewal_reset,renewal_action_type,renewal_reason,renewal_reference,renewal_evidence_urls
11626,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767895-uwp1jvxsi,653.053,AE3 Turbochargers,10677.20,10686.18,10686.18,12-Feb-2026 12:00,UTC,2026-02-12 12:52:00,977621de-77d7-4892-ae27-adaebcc27d0b,bulk,Routine operation,f,,,1,f,,,,
5050,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767863-71ynjfqzw,652.001,"Aux. Diesel Generator Aggregates, Complete No.02",12717.02,12729.34,12729.34,12-Feb-2026 12:00,UTC,2026-02-12 12:48:00,228b5256-5bd2-4bf3-826f-c6fe76571449,bulk,Normal operation,f,,,1,f,,,,
13818,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767962-b363j8iop,554.003.01,Compressors W/Drive Unit No.01,23477.09,23485.27,23485.27,12-Feb-2026 12:00,UTC,2026-02-12 12:39:00,056a433e-b880-43c6-9d59-b1cfe71a4014,bulk,Routine operation,f,,,1,f,,,,
12722,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767845-490ayszf9,601.064,ME Turning Gear,403.95,404.10,404.10,12-Feb-2026 12:00,UTC,2026-02-12 12:39:00,977621de-77d7-4892-ae27-adaebcc27d0b,bulk,Normal operation,f,,,1,f,,,,
6146,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767879-whkjy1n4i,653.001,"Aux. Diesel Generator Aggregates, Complete No.03",12843.83,12854.54,12854.54,12-Feb-2026 12:00,UTC,2026-02-12 12:38:00,6084f3b8-85dc-462a-b045-111d2b2e6d0e,bulk,Normal operation,f,,,1,f,,,,
16010,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374768508-68ro7cn9f,702.005.01,FO Separators No.01,14671.10,14685.81,14685.81,12-Feb-2026 12:00,UTC,2026-02-12 12:34:00,977621de-77d7-4892-ae27-adaebcc27d0b,bulk,Normal operation,f,,,1,f,,,,
3954,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767848-yixi06ueq,651.001,"Aux. Diesel Generator Aggregates, Complete No.01",12752.77,12765.59,12765.59,12-Feb-2026 12:00,UTC,2026-02-12 12:30:00,6084f3b8-85dc-462a-b045-111d2b2e6d0e,bulk,Routine operation,f,,,1,f,,,,
7242,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767903-diu642k7j,665.003,Emergency Generator Drive Units,433.18,433.62,433.62,12-Feb-2026 12:00,UTC,2026-02-12 12:28:00,480b40d0-04bd-4590-a936-2f879b867977,bulk,,f,,,1,f,,,,
8338,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767834-dbncpiany,601.053,ME Turbochargers,17250.90,17268.95,17268.95,12-Feb-2026 12:00,UTC,2026-02-12 12:28:00,977621de-77d7-4892-ae27-adaebcc27d0b,bulk,All parameters normal,f,,,1,f,,,,
19298,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374768525-zyps62yum,712.011.02,LO Separators No.02,12583.84,12596.70,12596.70,12-Feb-2026 12:00,UTC,2026-02-12 12:25:00,977621de-77d7-4892-ae27-adaebcc27d0b,bulk,,f,,,1,f,,,,
14914,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767967-jb4k6wuji,554.003.02,Compressors W/Drive Unit No.02,8419.37,8427.61,8427.61,12-Feb-2026 12:00,UTC,2026-02-12 12:22:00,977621de-77d7-4892-ae27-adaebcc27d0b,bulk,All parameters normal,f,,,1,f,,,,
2858,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767818-ckg4kqu6q,601.001,"Main Diesel Engine, Compl.",24417.60,24436.95,24436.95,12-Feb-2026 12:00,UTC,2026-02-12 12:18:00,977621de-77d7-4892-ae27-adaebcc27d0b,bulk,,f,,,1,f,,,,
18202,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374768521-2x58uv1ld,712.011.01,LO Separators No.01,12535.29,12548.13,12548.13,12-Feb-2026 12:00,UTC,2026-02-12 12:14:00,977621de-77d7-4892-ae27-adaebcc27d0b,bulk,Normal operation,f,,,1,f,,,,
22586,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767809-mr8172nux,411.002,X-Band Radar,22626.88,22648.34,22648.34,12-Feb-2026 12:00,UTC,2026-02-12 12:14:00,228b5256-5bd2-4bf3-826f-c6fe76571449,bulk,Normal operation,f,,,1,f,,,,
21490,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767805-z4lpo0038,411.001,S-Band Radar,22606.64,22628.42,22628.42,12-Feb-2026 12:00,UTC,2026-02-12 12:12:00,228b5256-5bd2-4bf3-826f-c6fe76571449,bulk,Normal operation,f,,,1,f,,,,
9434,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767859-rfmxd163z,651.053,AE1 Turbochargers,10678.41,10687.82,10687.82,12-Feb-2026 12:00,UTC,2026-02-12 12:11:00,056a433e-b880-43c6-9d59-b1cfe71a4014,bulk,Normal operation,f,,,1,f,,,,
10530,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767875-8i4qk5eoo,652.053,AE2 Turbochargers,10744.02,10752.53,10752.53,12-Feb-2026 12:00,UTC,2026-02-12 12:06:00,6084f3b8-85dc-462a-b045-111d2b2e6d0e,bulk,Normal operation,f,,,1,f,,,,
17106,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374768511-709kv1bk1,702.005.02,FO Separators No.02,14688.45,14703.10,14703.10,12-Feb-2026 12:00,UTC,2026-02-12 12:06:00,056a433e-b880-43c6-9d59-b1cfe71a4014,bulk,Normal operation,f,,,1,f,,,,
20394,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767815-k5anrfi02,554.001,Provision Cooling Compressor Aggregates,19667.38,19685.80,19685.80,12-Feb-2026 12:00,UTC,2026-02-12 12:05:00,228b5256-5bd2-4bf3-826f-c6fe76571449,bulk,Normal operation,f,,,1,f,,,,
20393,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767815-k5anrfi02,554.001,Provision Cooling Compressor Aggregates,19648.77,19667.38,19667.38,11-Feb-2026 12:00,UTC,2026-02-11 12:49:00,977621de-77d7-4892-ae27-adaebcc27d0b,bulk,,f,,,1,f,,,,
2857,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767818-ckg4kqu6q,601.001,"Main Diesel Engine, Compl.",24399.01,24417.60,24417.60,11-Feb-2026 12:00,UTC,2026-02-11 12:44:00,228b5256-5bd2-4bf3-826f-c6fe76571449,bulk,Routine operation,f,,,1,f,,,,
11625,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767895-uwp1jvxsi,653.053,AE3 Turbochargers,10668.92,10677.20,10677.20,11-Feb-2026 12:00,UTC,2026-02-11 12:41:00,056a433e-b880-43c6-9d59-b1cfe71a4014,bulk,,f,,,1,f,,,,
21489,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374767805-z4lpo0038,411.001,S-Band Radar,22584.33,22606.64,22606.64,11-Feb-2026 12:00,UTC,2026-02-11 12:38:00,056a433e-b880-43c6-9d59-b1cfe71a4014,bulk,Smooth running,f,,,1,f,,,,
18201,7440571a-841a-11ed-aa7c-7003bca91a86,COMP-1768374768521-2x58uv1ld,712.011.01,LO Separators No.01,12523.18,12535.29,12535.29,11-Feb-2026 12:00,UTC,2026-02-11 12:36:00,480b40d0-04bd-4590-a936-2f879b867977,bulk,,f,,,1,f,,,,
